,index,Time Stamp,Region,Latitude,Longitude,Risk-Score,Risk-Level,Number of cases,New Cases
159,162,2020-03-19,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,2,
238,242,2020-03-20,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,2,0.0
323,328,2020-03-21,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,3,1.0
421,428,2020-03-22,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,2,
526,536,2020-03-23,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,2,0.0
644,657,2020-03-24,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,2,0.0
768,784,2020-03-25,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,3,1.0
908,927,2020-03-26,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,4,1.0
1115,1135,2020-03-27,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,0,
1349,1370,2020-03-28,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,0,0.0
1588,1610,2020-03-29,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,0,0.0
1827,1850,2020-03-30,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.03833926800710168,0,0,0.0
2066,2090,2020-03-31,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.18048667043766994,1,0,0.0
2305,2330,2020-04-01,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.4751445159015911,1,0,0.0
4934,4970,2020-04-02,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.8964120007523982,1,0,0.0
7473,7520,2020-04-03,SANTA MONICA MOUNTAINS,34.031132,-118.261507,1.2305544513044082,2,0,0.0
7946,7995,2020-04-04,SANTA MONICA MOUNTAINS,34.031132,-118.261507,1.2402177955614115,2,0,0.0
8185,8235,2020-04-05,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.8546371438397053,1,280,280.0
8424,8475,2020-04-06,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.2404286224545521,1,280,0.0
8663,8715,2020-04-07,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,280,0.0
8902,8955,2020-04-08,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,280,0.0
9141,9195,2020-04-09,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.0,0,280,0.0
2544,2570,2020-04-10,SANTA MONICA MOUNTAINS,34.031132,-118.261507,0.05135878230957282,0,280,0.0
